Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
TABALONG,20,20,20,,,,
TANAH BUMBU,2.86,2.86,2.86,,,,
BALANGAN,8,8,8,,,,
KOTA BANJARMASIN,28.89,28.89,28.89,,,,
KOTA BANJAR BARU,12,12,12,,,,
KALIMANTAN TIMUR,20,20,20,,,,
PASIR,12,12,12,,,,
KUTAI BARAT,8,8,8,,,,
KUTAI KARTANEGARA,4.44,4.44,4.44,,,,
KUTAI TIMUR,16.67,16.67,13.33,,,,
BERAU,12,12,12,,,,
MALINAU,-,-,-,,,,
BULUNGAN,-,-,-,,,,
NUNUKAN,-,-,-,,,,
PENAJAM PASER UTARA,20,20,20,,,,
TANA TIDUNG,-,-,-,,,,
MAHAKAM ULU,-,-,-,,,,
KOTA BALIKPAPAN,24.44,15.56,24.44,,,,
KOTA SAMARINDA,15.56,8,6.67,,,,
KOTA TARAKAN,-,-,-,,,,
KOTA BONTANG,12,24,24,,,,
KALIMANTAN UTARA,-,-,-,,,,
MALINAU,10,10,15,,,,
BULONGAN,16,16,16,,,,
TANA TIDUNG,15,24.44,15,,,,
NUNUKAN,28,28,24,,,,
KOTA TARAKAN,8,12,8,,,,
SULAWESI UTARA,24.44,26.67,28.89,,,,
BOLAANG MONGONDOW,7.5,20,20,,,,
MINAHASA,28.57,28.57,28.57,,,,
KEPULAUAN SANGIHE,16,16,16,,,,
KEPULAUAN TALAUD,10,10,15,,,,
MINAHASA SELATAN,13.33,20,20,,,,
MINAHASA UTARA,20,20,32,,,,
BOLAANG MONGONDOW UTARA,30,5,5,,,,
SIAU TAGULANDANG BIARO,0.01,0.01,25,,,,
MINAHASA TENGGARA,0.01,32,32,,,,
BOLAANG MONGONDOW SELATAN,0.01,15,15,,,,
BOLAANG MONGONDOW TIMUR,0.01,25,25,,,,
KOTA MANADO,12.5,12.5,20,,,,
KOTA BITUNG,16,16,28,,,,
KOTA TOMOHON,35,35,35,,,,
KOTA KOTAMOBAGU,20,20,20,,,,
SULAWESI TENGAH,18.18,18.18,20,,,,
BANGGAI KEPULAUAN,16,16,16,,,,
BANGGAI,17.14,17.14,17.14,,,,
MOROWALI,12,12,12,,,,
POSO,0.01,0.01,0.01,,,,
DONGGALA,0.01,0.01,20.69,,,,
TOLI-TOLI,20,20,20,,,,
BUOL,24,24,24,,,,
PARIGI MOUTONG,12.5,12.5,15,,,,
TOJO UNA-UNA,0.01,0.01,0.01,,,,
SIGI,13.33,13.33,16.67,,,,
BANGGAI LAUT,-,-,-,,,,
MOROWALI UTARA,-,-,-,,,,
KOTA PALU,20,20,20,,,,
SULAWESI SELATAN,16,16,16,,,,
KEPULAUAN SELAYAR,24,28,28,,,,
BULUKUMBA,10,10,12.5,,,,
BANTAENG,28,28,28,,,,
JENEPONTO,8.57,11.43,11.43,,,,
TAKALAR,20,16.67,20,,,,
GOWA,28.89,26.67,28.89,,,,
SINJAI,10,13.33,13.33,,,,
MAROS,17.14,17.14,17.14,,,,
PANGKAJENE DAN KEPULAUAN,8.57,11.43,8.57,,,,
BARRU,20,24,24,,,,
BONE,20,20,15.56,,,,
SOPPENG,13.33,13.33,13.33,,,,
WAJO,17.14,17.14,17.14,,,,
SIDENRENG RAPPANG,10,3.33,3.33,,,,
PINRANG,11.43,11.43,11.43,,,,
ENREKANG,10,6.67,10,,,,
LUWU,11.43,11.43,8.57,,,,
TANA TORAJA,13.33,13.33,13.33,,,,
LUWU UTARA,2.86,2.86,2.86,,,,
LUWU TIMUR,13.33,3.33,3.33,,,,
TORAJA UTARA,13.33,13.33,13.33,,,,
KOTA MAKASSAR,14,14,14,,,,
KOTA PARE-PARE,16,16,16,,,,
KOTA PALOPO,12,20,20,,,,
SULAWESI TENGGARA,15.56,15.56,15.56,,,,
BUTON,20,20,12,,,,
MUNA,10,10,10,,,,
KONAWE,13.33,13.33,13.33,,,,
KOLAKA,14.29,14.29,11.43,,,,
KONAWE SELATAN,10,10,10,,,,
BOMBANA,12,12,12,,,,
WAKATOBI,8,8,8,,,,
KOLAKA UTARA,4,4,4,,,,
BUTON UTARA,5,15,15,,,,
KONAWE UTARA,15,5,5,,,,
KOLAKA TIMUR,-,-,-,,,,
KONAWE KEPULAUAN,-,-,-,,,,
MUNA BARAT,-,-,-,,,,
BUTON TENGAH,-,-,-,,,,
BUTON SELATAN,-,-,-,,,,
KOTA KENDARI,33.33,34.48,33.33,,,,
KOTA BAU-BAU,12,13.04,12,,,,
GORONTALO,20,20,20,,,,
BOALEMO,8,8,8,,,,
GORONTALO,15,15,15,,,,
POHUWATO,24,24,24,,,,
BONE BOLANGO,4,4,8,,,,
GORONTALO UTARA,8,8,8,,,,
KOTA GORONTALO,24,24,24,,,,
SULAWESI BARAT,11.11,11.11,11.11,,,,
MAJENE,16,16,16,,,,
POLEWALI MANDAR,15,15,15,,,,
MAMASA,4,4,4,,,,
MAMUJU,14.29,14.29,14.29,,,,
MAMUJU UTARA,12,12,12,,,,
MAMUJU TENGAH,-,-,-,,,,
MALUKU,28.89,28.89,31.82,,,,
MALUKU TENGGARA BARAT,5,5,5,,,,
MALUKU TENGGARA,4,4,4,,,,
MALUKU TENGAH,11.43,11.43,11.43,,,,
BURU,12,12,12,,,,
KEPULAUAN ARU,0.01,0.01,0.01,,,,
SERAM BAGIAN BARAT,12,12,8,,,,
SERAM BAGIAN TIMUR,0.01,0.01,0.01,,,,
MALUKU BARAT DAYA,5,5,5,,,,
BURU SELATAN,5,5,5,,,,
KOTA AMBON,2.86,2.86,2.86,,,,
KOTA TUAL,5,5,5,,,,
MALUKU UTARA,8.89,8.89,8.89,,,,
HALMAHERA BARAT,0.01,16,16,,,,
HALMAHERA TENGAH,10,20,20,,,,
KEPULAUAN SULA,4,4,4,,,,
HALMAHERA SELATAN,0.01,3.33,3.33,,,,
HALMAHERA UTARA,20,20,20,,,,
HALMAHERA TIMUR,0.01,0.01,0.01,,,,
PULAU MOROTAI,0.15,15,15,,,,
PULAU TALIABU,-,-,-,,,,
KOTA TERNATE,16,16,16,,,,
KOTA TIDORE KEPULAUAN,10,10.53,10,,,,
PAPUA BARAT,15.91,15.91,15.91,,,,
FAKFAK,10,10,10,,,,
KAIMANA,5,5,10,,,,
TELUK WONDAMA,8,8,20,,,,
TELUK BINTUNI,0.01,0.01,0.01,,,,
MANOKWARI,4,4,4,,,,
SORONG SELATAN,20,16.67,20,,,,
SORONG,5,5,5,,,,
RAJA AMPAT,10,10,10.53,,,,
TAMBRAUW,0.01,0.01,0.01,,,,
MAYBRAT,10,10,0.01,,,,
MANOKWARI SELATAN,-,-,-,,,,
PEGUNUNGAN ARFAK,-,-,-,,,,
KOTA SORONG,13.33,6.9,6.67,,,,
PAPUA,7.14,7.14,8.93,,,,
MERAUKE,20,20,20,,,,
JAYAWIJAYA,10,10,10,,,,
JAYAPURA,8,8,8,,,,
NABIRE,8,8,8,,,,
KEPULAUAN YAPEN,0.01,0.01,0.01,,,,
BIAK NUMFOR,4,4,4,,,,
PANIAI,3.33,3.33,3.33,,,,
PUNCAK JAYA,20.83,20.83,20.83,,,,
MIMIKA,12,12,12,,,,
